State,County,Year,Month,Flood Occurrence Count,DSCI,None,D0,D1,D2,D3,D4,Population Density,Housing Unit Density,PCP Value,PCP Rank,PCP Anomaly (1901-2000 base period),1901-2000 PCP Mean,TMAX Value,TMAX Rank,TMAX Anomaly (1901-2000 base period),1901-2000 TMAX Mean,TAVG Value,TAVG Rank,TAVG Anomaly (1901-2000 base period),1901-2000 TAVG Mean,TMIN Value,TMIN Rank,TMIN Anomaly (1901-2000 base period),1901-2000 TMIN Mean,DEM Count,DEM Area,Land Area (Sq Mi),Land Area (Sq Km),Rank (Land Area),Water Area (Sq Mi),Water Area (Sq Km),Rank (Water Area),Total Area (Sq Mi),Total Area (Sq Km),Rank (Total Area),Slope Min,Slope Max,Slope Range,Slope Mean,Slope Std,Slope Sum,Slope Median,Slope Pct90,Elevation Min,Elevation Max,Elevation Range,Elevation Mean,Elevation Std,Elevation Sum,Elevation Median,Elevation Pct90,Flow Accumulation Min,Flow Accumulation Max,Flow Accumulation Range,Flow Accumulation Mean,Flow Accumulation Std,Flow Accumulation Sum,Flow Accumulation Median,Flow Accumulation Pct90,Curvature Min,Curvature Max,Curvature Range,Curvature Mean,Curvature Std,Curvature Sum,Curvature Median,Curvature Pct90,Planar Curvature Min,Planar Curvature Max,Planar Curvature Range,Planar Curvature Mean,Planar Curvature Std,Planar Curvature Sum,Planar Curvature Median,Planar Curvature Pct90,Profile Curvature Min,Profile Curvature Max,Profile Curvature Range,Profile Curvature Mean,Profile Curvature Std,Profile Curvature Sum,Profile Curvature Median,Profile Curvature Pct90
KS,Marshall County,2015,7,2,0,100,0,0,0,0,0,4.199726986,2.099223616,5.96,109,2.1651,3.79,86.7,19,-3.835,90.5,75.6,28,-2.467,78.1,64.6,43,-1.003,65.6,3194271,0.246471528,900.18,2331.455497,23,4.92,12.74,38,905.1,2344.2,23,0,28.82390404,28.82390404,2.361660935,1.837959317,7538967.249,2.073004007,4.165223122,327.1814575,468.133606,140.9521484,395.4100384,25.72568607,1263046819,396.9442139,427.6634521,0,5953556,5953556,2646.08092,74649.24081,8452299546,1,31,-56701464576,55265058816,1.12E+11,178141.9291,2890205222,5.69E+11,163937984,2272152832,-35832778752,36283998208,72116776960,9958878.168,1552731369,3.18E+13,59725468,1292104320,-37487087616,36956827648,74443915264,10021258.32,1753498072,3.20E+13,-69298400,1343340800
KS,Osage County,2015,7,4,0,100,0,0,0,0,0,8.509440034,4.050632911,5.18,95,1.2542,3.93,89.3,62,-0.725,90,79.2,83,0.703,78.5,69.2,107,2.241,67,2500279,0.192922762,705.52,1827.288412,68,14.33,37.11,10,719.85,1864.4,62,0,24.3860569,24.3860569,1.776867304,1.525136944,4442664.005,1.432355165,3.516131115,272.0651245,398.0445862,125.9794617,332.3690937,18.88296337,831015465.1,332.6638489,356.7003235,0,3582315,3582315,2303.09713,47421.6155,5758385388,2,44,-38600376320,55751692288,94352068608,-1676.515658,2243180624,-4191756892,88831056,1686563968,-24063078400,27998500864,52061579264,11407390.54,1162682167,2.85E+13,30547780,919527872,-27753191424,27532032000,55285223424,11641368.38,1400275317,2.91E+13,-23285000,1040002739
KS,Sedgwick County,2015,7,10,1,99.06064516,0.939354839,0,0,0,0,195.5467725,82.64010315,6.5,117,2.9778,3.52,91.6,49,-1.499,93.1,81.3,82,0.663,80.6,71.1,115,2.932,68.2,3459782,0.266958488,997.51,2583.53904,16,11.61,30.07,15,1009.12,2613.61,16,0,16.57667923,16.57667923,0.693362282,0.695272304,2398882.343,0.507374316,1.461465001,368.426239,472.2496643,103.8234253,414.7808086,18.43710567,1435051175,414.4387665,439.8831482,0,53243304,53243304,46364.35215,1451460.97,1.60E+11,1,41,-30039965696,48923643904,78963609600,-103050.7502,1522157895,-3.57E+11,-7158691.5,1129886720,-22543413248,28777865216,51321278464,30399204.35,740631639.2,1.05E+14,0,575887686.4,-25112326144,27296684032,52409010176,30972619.92,969093169.9,1.07E+14,10564899.5,710834873.6
KS,Stanton County,2015,7,1,2,97.82354839,2.176451613,0,0,0,0,1.1746347,0.564619095,4.53,111,1.824,2.71,92.8,57,-0.564,93.4,78.9,71,0.192,78.7,65,91,0.945,64.1,2329210,0.179722994,680.34,1762.072511,71,0.07,0.18,102,680.41,1762.25,71,0,13.34732437,13.34732437,0.463084006,0.534264949,1078037.338,0.288035303,1.069661617,947.9413452,1130.569946,182.6286011,1027.836216,44.98922623,2394046392,1024.394653,1092.928723,0,1780143,1780143,1631.678764,32838.88971,3800522495,2,63,-26300319744,33010190336,59310510080,-173856.3795,681992779.8,-4.05E+11,-6169922,375416000,-17327087616,20016365568,37343453184,8964337.798,325541742,2.09E+13,0,183773755.2,-17818535936,18283374592,36101910528,9158560.221,452781008.2,2.13E+13,5181917.75,237810555.2
KS,Wallace County,2015,7,1,5,95.15741935,4.842580645,0,0,0,0,0.635968341,0.328337144,4.97,120,2.2158,2.75,91.5,82,1.39,90.1,77.1,77,0.781,76.3,62.7,69,0.187,62.5,3185647,0.245806096,913.65,2366.342637,21,0.05,0.13,103,913.7,2366.47,22,0,21.25106812,21.25106812,1.358008573,1.347304407,4324007.936,0.921262145,3.062819958,957.9371948,1231.477539,273.5403442,1102.647756,57.77252379,3512646517,1101.922485,1180.874512,0,1410708,1410708,1319.040415,26059.82823,4201997140,3,39,-49060052992,50345771008,99405824000,47742.59391,1646896964,1.52E+11,24521484,926437504,-30453248000,29688811520,60142059520,6689303.603,896231706.9,2.13E+13,8296682,473374208,-25315315712,32692586496,58007902208,6653546.05,985334041.4,2.12E+13,-11377441,495901760
NV,Lincoln County,2015,7,5,223,0,0,76.68,23.32,0,0,9.913688688,4.372788571,1.42,103,0.5398,0.88,88.5,10,-2.731,91.2,75,28,-1.135,76.1,61.5,67,0.473,61,36444668,2.81208858,10633.19,27539.84,3,3.78,9.79,16,10636.97,27549.63,3,0,73.33853149,73.33853149,7.323492053,8.24710719,266902236.5,3.775761127,20.03233147,532.3547974,3239.769043,2707.414246,1602.149511,365.1361417,58400387605,1627.892578,2030.057617,0,25689270,25689270,5647.346264,272362.0572,2.06E+11,3,280,-1.59E+11,4.14E+11,5.73E+11,142339277.7,4461673540,5.19E+15,0,3543615488,-1.59E+11,4.14E+11,5.73E+11,142339277.7,4461673540,5.19E+15,0,3543615488,-3.01E+11,2.13E+11,5.14E+11,142102231.7,4098782514,5.18E+15,0,3508545792
VA,Arlington County,2015,7,1,0,100,0,0,0,0,0,3385.896296,1660.755556,4.5,73,0.3849,4.12,86.2,69,0.15,86.1,77.4,89,1.205,76.2,68.6,102,2.275,66.3,90298,0.006967438,25.97,67.26,106,0.09,0.23,119,26.06,67.5,107,0,35.81206131,35.81206131,3.303408442,3.116927111,298291.1755,2.476670265,7.074951363,-2.081119061,139.983078,142.0641971,61.53269885,33.34739062,5590799.485,64.36896515,104.0771255,0,66059,66059,155.9059532,1882.688987,14165459,1,29,-51499282432,41163128832,92662411264,4392202.845,3520975514,3.99E+11,0,3467725466,-17518563328,23053072384,40571635712,74521474.61,1711265746,6.77E+12,9572374,1731175526,-28908292096,40316026880,69224318976,70129362.08,2439546599,6.37E+12,1727565.75,2122325939
VA,Greene County,2015,7,1,0,100,0,0,0,0,0,47.20226378,19.97293307,4.57,80,0.2016,4.37,83.3,41,-0.952,84.3,73.8,73,0.427,73.4,64.2,99,1.717,62.5,541296,0.041766667,156.25,404.69,92,0.66,1.71,104,156.91,406.4,97,0,44.73187256,44.73187256,9.38807428,7.402271617,5081727.056,6.804608345,20.83481216,105.4195404,1105.744629,1000.325089,352.8980464,241.8617054,191022300.9,219.7596741,775.499115,0,467438,467438,524.2842086,9036.681279,283792945,1,34,-60399738880,99689799680,1.60E+11,-8511983.245,6434864505,-4.61E+12,382307744,6780388096,-40509452288,61994606592,1.03E+11,102762142.8,3911843962,5.56E+13,235993184,4093284992,-39766355968,44483313664,84249669632,111302745.6,3506503633,6.02E+13,-82925268,4012021376
VA,Tazewell County,2015,7,4,19,80.64516129,19.35483871,0,0,0,0,31.85841365,15.43950577,6.65,115,1.7601,4.89,79.6,45,-0.711,80.3,70.5,92,1.101,69.4,61.5,117,3.017,58.5,1766925,0.136336806,518.85,1343.82,19,1.13,2.93,94,519.98,1346.74,22,0,60.26203918,60.26203918,14.67135808,8.056834136,25923189.37,14.221632,25.74364548,505.9997253,1436.790405,930.7906799,832.0422554,136.8771804,1472030853,810.1630859,1014.654846,0,629045,629045,817.8147456,13400.72569,1446859856,1,32,-1.34E+11,1.57E+11,2.91E+11,-2674512.232,11919246283,-4.73E+12,143964848,13345224704,-76175343616,92771647488,1.69E+11,321539088.7,7153394539,5.69E+14,358848752,7847744358,-93519159296,1.02E+11,1.96E+11,324319463.1,6697406799,5.74E+14,157890304,7541454336
KS,Allen County,2015,8,1,0,100,0,0,0,0,0,9.690778364,4.819028554,6.51,108,2.8232,3.69,85,13,-4.749,89.7,74.7,14,-3.39,78.1,64.4,23,-2.021,66.4,1737308,0.134051543,500.3,1295.771052,97,5.02,13,37,505.32,1308.77,97,0,21.57102203,21.57102203,1.069247445,0.902500342,1857612.14,0.861773193,1.982928157,273.5799866,353.9569397,80.37695313,310.3272131,13.78815331,539133950,311.3669434,327.9827271,0,14333746,14333746,12893.05184,399433.6172,22399202107,1,28,-43700252672,43407298560,87107551232,-101227.1279,1569175138,-1.76E+11,58100096,1084901683,-23101904896,22616621056,45718525952,10722888.49,765184017.2,1.86E+13,26468814,575234323.2,-24789450752,24211503104,49000953856,11019083.46,1003759441,1.91E+13,-18802293,653575808
