State,County,Year,Month,Flash Flood Total Duration (Minutes),DSCI,None,D0,D1,D2,D3,D4,Population Density,Housing Unit Density,PCP Value,PCP Rank,PCP Anomaly (1901-2000 base period),1901-2000 PCP Mean,TMAX Value,TMAX Rank,TMAX Anomaly (1901-2000 base period),1901-2000 TMAX Mean,TAVG Value,TAVG Rank,TAVG Anomaly (1901-2000 base period),1901-2000 TAVG Mean,TMIN Value,TMIN Rank,TMIN Anomaly (1901-2000 base period),1901-2000 TMIN Mean,DEM Count,DEM Area,Land Area (Sq Mi),Land Area (Sq Km),Rank (Land Area),Water Area (Sq Mi),Water Area (Sq Km),Rank (Water Area),Total Area (Sq Mi),Total Area (Sq Km),Rank (Total Area),Slope Min,Slope Max,Slope Range,Slope Mean,Slope Std,Slope Sum,Slope Median,Slope Pct90,Elevation Min,Elevation Max,Elevation Range,Elevation Mean,Elevation Std,Elevation Sum,Elevation Median,Elevation Pct90,Flow Accumulation Min,Flow Accumulation Max,Flow Accumulation Range,Flow Accumulation Mean,Flow Accumulation Std,Flow Accumulation Sum,Flow Accumulation Median,Flow Accumulation Pct90,Curvature Min,Curvature Max,Curvature Range,Curvature Mean,Curvature Std,Curvature Sum,Curvature Median,Curvature Pct90,Planar Curvature Min,Planar Curvature Max,Planar Curvature Range,Planar Curvature Mean,Planar Curvature Std,Planar Curvature Sum,Planar Curvature Median,Planar Curvature Pct90,Profile Curvature Min,Profile Curvature Max,Profile Curvature Range,Profile Curvature Mean,Profile Curvature Std,Profile Curvature Sum,Profile Curvature Median,Profile Curvature Pct90
VA,Roanoke City,2010,1,630,0,100,0,0,0,0,0,870.4887049,426.2262623,4.64,114,1.5167,3.12,41,17,-4.626,45.6,32.7,27,-3.072,35.8,24.3,39,-1.609,25.9,146324,0.011290432,42.56,110.23,104,0.34,0.88,108,42.9,111.11,106,0,45.22730255,45.22730255,4.642088939,4.355413145,679249.022,3.331840515,10.39275732,269.5737,530.9160767,261.3423767,323.3340282,32.71531069,47311528.35,319.5241394,353.4872314,0,1324441,1324441,5093.258912,76278.33234,745266017,1,34,-59541921792,58886131712,1.18E+11,-1493654.611,4048996805,-2.19E+11,-29267578,4509849242,-35557466112,20908679168,56466145280,197535316.4,1927699904,2.89E+13,62083510,2138363763,-52112097280,44087484416,96199581696,199069563.8,2866765270,2.91E+13,77686300,3190058112
VA,Rockbridge County,2010,1,167,0,100,0,0,0,0,0,14.35647699,7.18145081,5.2,115,1.965,3.24,38.4,21,-4.143,42.5,30.4,32,-2.762,33.2,22.6,49,-1.183,23.8,2060578,0.158995216,597.56,1547.67,11,3.41,8.83,62,600.97,1556.51,13,0,52.95746613,52.95746613,11.3063354,7.562932,23297585.98,9.661086559,22.55616131,202.8783417,1236.259399,1033.381058,491.9461882,155.0077084,1013693493,461.8126221,718.816925,0,10202037,10202037,4412.506083,132997.0666,9092312959,2,29,-89169330176,65145556992,1.54E+11,-1515093.017,6803472782,-3.12E+12,272346688,7495901184,-54531092480,48123310080,1.03E+11,193091246,4169789865,3.98E+14,259383560,4471421645,-49977458688,50289233920,1.00E+11,194614712.7,3916082049,4.01E+14,57995790,4166008064
VA,Shenandoah County,2010,1,30,0,100,0,0,0,0,0,31.70051412,15.74924239,3.05,95,0.5702,2.48,38.3,36,-2.671,41,30.2,56,-0.516,30.7,22,76,1.536,20.5,1781412,0.13745463,508.78,1317.73,21,3.4,8.81,63,512.18,1326.54,23,0,45.33763123,45.33763123,7.954723638,6.339674362,14170640.15,6.042113304,17.58695679,116.5299988,1005.330444,888.8004456,380.8759556,141.8460355,679189049.4,340.4932556,582.3975952,0,2621880,2621880,5271.271412,100934.7667,9399884049,2,30,-50839482368,70583902208,1.21E+11,5753457.361,4861838880,1.03E+13,176515136,4876295168,-37157494784,36421533696,73579028480,106146999,2737427421,1.89E+14,150947584,2698516736,-46030950400,37340659712,83371610112,100395410.1,3024883775,1.79E+14,11377987,2915346944
KS,Cherokee County,2010,3,512,0,100,0,0,0,0,0,14.06229585,6.463456061,3.84,93,0.7817,3.06,57.9,57,-0.11,58,47.8,72,0.927,46.9,37.8,90,2.068,35.7,2012939,0.155319367,587.57,1521.799314,85,3.46,8.96,49,591.03,1530.76,85,0,36.97162247,36.97162247,0.989509982,1.228721453,1988993.234,0.650033653,2.009603882,231.5686798,319.678894,88.11021423,264.8656606,12.2962994,533158418,265.0114441,280.1691345,0,19452374,19452374,6892.156149,321609.3334,13873489907,1,34,-43002814464,54501609472,97504423936,53118.10575,2341762059,1.07E+11,16631104,1295351398,-32606484480,29716084736,62322569216,40234433.23,1149497292,8.10E+13,11188300,630188108.8,-34150578176,31400828928,65551407104,41438203.43,1490456252,8.34E+13,-14960.51074,854542118.4
VA,Albemarle County,2010,3,388,0,100,0,0,0,0,0,52.75012762,22.42853497,4.69,101,1.1492,3.54,59.6,98,3.522,56.1,48.6,108,4.166,44.4,37.5,117,4.724,32.8,2500327,0.192926466,720.7,1866.6,6,5.42,14.04,45,726.12,1880.64,8,0,47.33563614,47.33563614,7.669274507,6.000676535,19175694.12,5.839859009,16.72759132,29.26949883,1032.327393,1003.057894,225.8815807,144.8752509,564777815,177.223465,385.9023132,0,15437743,15437743,3819.038936,192166.1248,9548846165,1,31,-77610065920,84017963008,1.62E+11,520334.7186,6800694327,1.30E+12,663523712,7044508160,-55141769216,44232171520,99373940736,121915624.1,3976510836,3.05E+14,311854464,4110586470,-51692343296,60345135104,1.12E+11,121484479.5,3882516578,3.04E+14,-216592256,4500623360
VA,Arlington County,2010,3,0,0,100,0,0,0,0,0,3100.666667,1563.066667,3.47,70,-0.1076,3.58,58.5,106,4.117,54.4,49,117,4.857,44.1,39.6,122,5.717,33.9,90298,0.006967438,25.97,67.26,106,0.09,0.23,119,26.06,67.5,107,0,35.81206131,35.81206131,3.303408442,3.116927111,298291.1755,2.476670265,7.074951363,-2.081119061,139.983078,142.0641971,61.53269885,33.34739062,5590799.485,64.36896515,104.0771255,0,66059,66059,155.9059532,1882.688987,14165459,1,29,-51499282432,41163128832,92662411264,4392202.845,3520975514,3.99E+11,0,3467725466,-17518563328,23053072384,40571635712,74521474.61,1711265746,6.77E+12,9572374,1731175526,-28908292096,40316026880,69224318976,70129362.08,2439546599,6.37E+12,1727565.75,2122325939
VA,Culpeper County,2010,3,718,0,100,0,0,0,0,0,47.27434218,17.82653895,4.84,105,1.518,3.32,59.9,104,4.23,55.7,48.8,117,5.02,43.8,37.8,120,5.919,31.9,1325925,0.102309028,379.23,982.2,51,3.31,8.57,64,382.54,990.77,52,0,30.75470543,30.75470543,3.419869955,2.771061506,4534491.07,2.81578064,6.962558651,31.82107544,329.8864136,298.0653381,119.3609596,30.06273007,158263680.4,114.7947922,160.8677032,0,2992864,2992864,4236.556907,82716.38912,5617356717,1,30,-54804193280,66685472768,1.21E+11,-304072.6499,4269612801,-4.03E+11,14238281,4706621952,-32793858048,39451385856,72245243904,92821386.35,2401283057,1.23E+14,51139796,2642069248,-36669485056,34625306624,71294791680,93207278.95,2503438867,1.24E+14,4565823.5,2565030400
VA,Fauquier County,2010,3,387,0,100,0,0,0,0,0,38.79811227,15.19553205,4.6,108,1.3265,3.27,58.5,108,4.766,53.7,48.1,119,5.41,42.7,37.7,120,6.058,31.6,2266848,0.174911111,647.45,1676.89,8,3.78,9.79,57,651.23,1686.68,11,0,35.054142,35.054142,4.44175594,3.856442338,10068785.57,3.290042996,9.655179119,47.85042572,671.2648926,623.4144669,161.9076175,77.29849797,367019958.9,150.6486282,245.9951599,0,2860654,2860654,1290.3753,42343.40516,2925084669,1,31,-54683267072,60548882432,1.15E+11,-647959.3183,4376676245,-1.47E+12,-48568360,4933426176,-34971746304,33655558144,68627304448,105451211.4,2530990989,2.39E+14,50607380,2862356506,-37973417984,34287058944,72260476928,106188469.6,2491273669,2.41E+14,62616848,2634859520
VA,Frederick County,2010,3,3136,0,100,0,0,0,0,0,72.99032681,29.17011253,5.34,123,2.2404,3.1,57,106,4.867,52.1,45.8,116,4.666,41.1,34.6,120,4.472,30.1,1450671,0.111934491,413.5,1070.96,43,2.01,5.21,87,415.51,1076.17,46,0,46.68143845,46.68143845,5.687528397,4.811690623,8250732.508,4.326189041,12.17614841,86.44000244,864.907959,778.4679565,278.735687,97.34870718,405227056.7,255.1328278,375.0931427,0,583572,583572,674.7694215,12469.59935,980982484,1,31,-57350549504,68566499328,1.26E+11,472859.363,4436460846,6.87E+11,168960944,4637012480,-30214815744,43493306368,73708122112,105533899.9,2362812803,1.53E+14,135261112,2435648230,-53211344896,35793211392,89004556288,105071884.3,2891920068,1.53E+14,-21749833,2901932262
VA,Giles County,2010,3,86,0,100,0,0,0,0,0,18.54994215,8.915027639,3.77,73,0.0749,3.7,52.2,59,-0.314,52.5,42.6,72,1.037,41.6,33,90,2.402,30.6,1231217,0.095001312,355.78,921.47,53,4.64,12.02,51,360.42,933.48,55,0,59.99286652,59.99286652,13.13991431,7.273247981,16178085.88,12.45610046,22.72269554,442.0488892,1328.415894,886.3670044,760.4426638,192.5768755,938074465.6,710.7692566,1051.325317,0,9406710,9406710,15023.47568,332763.2903,18532809368,2,33,-2.14E+11,2.37E+11,4.51E+11,1353113.449,8857676584,1.67E+12,445341792,9159573197,-1.23E+11,1.24E+11,2.47E+11,153070332,5206381456,1.89E+14,327502960,5422316288,-1.29E+11,1.34E+11,2.63E+11,151730618.2,5086239814,1.87E+14,-19598341,5241653043
