State,County,Year,Month,Flash Flood Occurrence Count,DSCI,None,D0,D1,D2,D3,D4,Population Density,Housing Unit Density,PCP Value,PCP Rank,PCP Anomaly (1901-2000 base period),1901-2000 PCP Mean,TMAX Value,TMAX Rank,TMAX Anomaly (1901-2000 base period),1901-2000 TMAX Mean,TAVG Value,TAVG Rank,TAVG Anomaly (1901-2000 base period),1901-2000 TAVG Mean,TMIN Value,TMIN Rank,TMIN Anomaly (1901-2000 base period),1901-2000 TMIN Mean,DEM Count,DEM Area,Land Area (Sq Mi),Land Area (Sq Km),Rank (Land Area),Water Area (Sq Mi),Water Area (Sq Km),Rank (Water Area),Total Area (Sq Mi),Total Area (Sq Km),Rank (Total Area),Slope Min,Slope Max,Slope Range,Slope Mean,Slope Std,Slope Sum,Slope Median,Slope Pct90,Elevation Min,Elevation Max,Elevation Range,Elevation Mean,Elevation Std,Elevation Sum,Elevation Median,Elevation Pct90,Flow Accumulation Min,Flow Accumulation Max,Flow Accumulation Range,Flow Accumulation Mean,Flow Accumulation Std,Flow Accumulation Sum,Flow Accumulation Median,Flow Accumulation Pct90,Curvature Min,Curvature Max,Curvature Range,Curvature Mean,Curvature Std,Curvature Sum,Curvature Median,Curvature Pct90,Planar Curvature Min,Planar Curvature Max,Planar Curvature Range,Planar Curvature Mean,Planar Curvature Std,Planar Curvature Sum,Planar Curvature Median,Planar Curvature Pct90,Profile Curvature Min,Profile Curvature Max,Profile Curvature Range,Profile Curvature Mean,Profile Curvature Std,Profile Curvature Sum,Profile Curvature Median,Profile Curvature Pct90
NV,Lander County,2013,9,2,421,0,0,0,0.046666667,79.25866667,20.69,0.191182241,0.100219132,1.38,118,0.831,0.55,75,50,-0.594,75.6,60.2,79,1.216,59,45.4,113,3.037,42.4,19521729,1.50630625,5490.1,14219.29,9,29.38,76.09,7,5519.48,14295.39,9,0,63.88314819,63.88314819,6.776806272,7.906468022,132294975.5,3.251143932,19.15305138,1358.820068,3477.62793,2118.807861,1829.194474,294.9435752,35709038813,1806.045654,2211.922607,0,73179752,73179752,8792.16596,619109.3837,1.72E+11,3,299,-1.02E+11,1.03E+11,2.05E+11,84998452.71,3171706189,1.66E+15,0,2532766464,-1.02E+11,1.03E+11,2.05E+11,84998452.71,3171706189,1.66E+15,0,2532766464,-90803429376,1.01E+11,1.91E+11,84855975.93,2874490840,1.66E+15,0,2288014080
NV,Lincoln County,2013,9,2,260,0,0,41.34066667,57.11666667,1.542666667,0,9.745071672,4.327582425,2.86,126,2.1674,0.69,78.3,17,-2.968,81.3,66,46,-0.477,66.5,53.7,96,2.019,51.7,36444668,2.81208858,10633.19,27539.84,3,3.78,9.79,16,10636.97,27549.63,3,0,73.33853149,73.33853149,7.323492053,8.24710719,266902236.5,3.775761127,20.03233147,532.3547974,3239.769043,2707.414246,1602.149511,365.1361417,58400387605,1627.892578,2030.057617,0,25689270,25689270,5647.346264,272362.0572,2.06E+11,3,280,-1.59E+11,4.14E+11,5.73E+11,142339277.7,4461673540,5.19E+15,0,3543615488,-1.59E+11,4.14E+11,5.73E+11,142339277.7,4461673540,5.19E+15,0,3543615488,-3.01E+11,2.13E+11,5.14E+11,142102231.7,4098782514,5.18E+15,0,3508545792
NV,Nye County,2013,9,1,290,0,0,19.61133333,70.41866667,9.969333333,0,0.435392677,0.157179175,1.42,121,0.9076,0.51,77.8,44,-0.958,78.8,64.4,85,1.517,62.9,51.1,122,4.09,47,62694992,4.837576543,18181.91,47090.93,1,16.68,43.2,12,18198.59,47134.13,1,0,76.10720062,76.10720062,6.265452174,8.146379007,392812473.9,2.395156622,19.37115841,634.5305176,3632.608398,2998.077881,1772.952486,434.0059921,1.11E+11,1758.148315,2305.822754,0,26963252,26963252,4163.056585,212558.9707,2.61E+11,4,476,-1.60E+11,1.58E+11,3.18E+11,114645620,3684228548,7.19E+15,0,2594495232,-1.60E+11,1.58E+11,3.18E+11,114645620,3684228548,7.19E+15,0,2594495232,-2.11E+11,2.10E+11,4.20E+11,114890715.5,3325014449,7.20E+15,0,2529249280
VA,Buchanan County,2013,9,1,0,100,0,0,0,0,0,18.10428066,8.88469968,3.14,66,-0.105,3.25,75.7,33,-1.762,77.5,66.1,67,0.087,66,56.4,91,1.846,54.6,1714816,0.132316049,502.76,1302.14,24,1.08,2.8,95,503.84,1304.94,27,0,53.1985817,53.1985817,21.8102049,8.174203363,37400488.33,23.18642616,31.31720924,247.5454712,1127.675293,880.1298218,580.8717148,116.5012545,998219328.8,581.7860107,727.4578369,0,1045879,1045879,995.2455832,22436.77739,1710314606,1,25,-1.16E+11,1.21E+11,2.37E+11,540578.1393,17282994960,9.29E+11,-833097664,22538407936,-70891315200,1.02E+11,1.73E+11,274903783.7,10860283918,4.72E+14,107615360,13392640819,-84589256704,73633832960,1.58E+11,274372394.9,9340600044,4.72E+14,731019840,10637720371
VA,Tazewell County,2013,9,1,0,100,0,0,0,0,0,32.68411126,15.44915871,2.62,48,-0.6578,3.28,72.8,34,-1.463,74.3,62.3,54,-0.431,62.7,51.8,76,0.619,51.2,1766925,0.136336806,518.85,1343.82,19,1.13,2.93,94,519.98,1346.74,22,0,60.26203918,60.26203918,14.67135808,8.056834136,25923189.37,14.221632,25.74364548,505.9997253,1436.790405,930.7906799,832.0422554,136.8771804,1472030853,810.1630859,1014.654846,0,629045,629045,817.8147456,13400.72569,1446859856,1,32,-1.34E+11,1.57E+11,2.91E+11,-2674512.232,11919246283,-4.73E+12,143964848,13345224704,-76175343616,92771647488,1.69E+11,321539088.7,7153394539,5.69E+14,358848752,7847744358,-93519159296,1.02E+11,1.96E+11,324319463.1,6697406799,5.74E+14,157890304,7541454336
KS,Bourbon County,2013,10,2,22,78.44451613,21.55548387,0,0,0,0,8.962446533,4.317198714,7.64,122,4.2201,3.42,68.3,33,-2.761,71.1,56.9,34,-2.15,59.1,45.4,41,-1.616,47,2196082,0.169450772,635.47,1645.859744,79,3.62,9.38,48,639.09,1655.24,80,0,27.87166786,27.87166786,1.70894125,1.733634867,3750738.115,1.218663812,3.398848581,229.0887604,340.1991272,111.1103668,280.6928773,23.1281013,616424575.3,276.5707092,317.6469727,0,1456588,1456588,2034.819021,39154.84719,4468629426,1,30,-43219591168,39680548864,82900140032,-73680.19127,2441325826,-1.62E+11,108329592,1632062976,-26680586240,26287042560,52967628800,13359574.81,1210170656,2.93E+13,49306090,862993696,-25219989504,28888346624,54108336128,13725278.46,1587377749,3.01E+13,-37565742,1029211846
KS,Butler County,2013,10,2,0,100,0,0,0,0,0,17.52876708,7.052238507,5.12,111,2.4553,2.66,69.2,46,-1.419,70.6,57,40,-1.289,58.3,44.8,44,-1.148,45.9,4965832,0.383166049,1429.86,3703.320399,1,16.66,43.15,8,1446.52,3746.47,1,0,22.14883995,22.14883995,1.342714676,1.308848754,6667695.503,1.005225301,2.59213686,348.5599976,512.3904419,163.8304443,423.7766397,27.70530809,2104403598,423.045105,461.2989471,0,4645754,4645754,2592.714604,71073.55336,12874985148,1,31,-43605209088,51823230976,95428440064,-116640.3707,1898005209,-5.79E+11,97057616,1227063040,-22477723648,24230256640,46707980288,9009369.543,976078317.2,4.47E+13,38122334,664115372.8,-29310316544,26489950208,55800266752,9394558.962,1196079773,4.67E+13,-40458260,819894400
VA,Lancaster County,2013,10,1,45,54.83870968,45.16129032,0,0,0,0,18.28572382,12.60428486,3.35,75,0.3142,3.04,70.2,71,0.406,69.8,61,91,1.776,59.2,51.7,107,3.066,48.6,793570,0.061232253,133.25,345.12,94,98.15,254.21,6,231.4,599.32,87,0,18.31871414,18.31871414,1.284162222,2.031171594,1019072.615,0.280164376,4.233178711,-0.620000005,40.65003586,41.27003586,8.985818568,10.88030493,7130876.041,3.09773612,26.5703331,0,10366976,10366976,12777.77469,337633.645,10140058659,4,322,-22300719104,23667007488,45967726592,-1048340.936,2446543672,-8.32E+11,0,1879381632,-16841618432,14295525376,31137143808,16738502.73,1309545585,1.33E+13,0,807946272,-14000512000,17051168768,31051680768,17789820.85,1586405013,1.41E+13,0,991957625.6
VA,Mathews County,2013,10,1,45,54.83870968,45.16129032,0,0,0,0,13.63531882,8.750019155,3.53,78,0.5337,3,70.6,72,0.558,70,62.1,93,1.941,60.2,53.6,107,3.332,50.3,860827,0.066421836,85.93,222.56,97,166.03,430.02,4,251.96,652.57,84,0,10.77412987,10.77412987,0.12207317,0.39663002,105083.8808,0,0.323524261,-0.980000019,21.39826965,22.37826967,0.975975482,2.102861396,840146.0465,0,3.762695169,0,952549,952549,895.3424893,17053.4825,770734989,14,992,-15355412480,17509183488,32864595968,-89647.32663,463097782.1,-77170839242,0,114421830.4,-12891027456,10211436544,23102464000,3083669.201,225077786.5,2.65E+12,0,53523011.2,-9530029056,11228340224,20758369280,3185267.033,319929398,2.74E+12,0,60854048.8
VA,Middlesex County,2013,10,1,45,54.83870968,45.16129032,0,0,0,0,19.74940006,13.24809027,3.28,70,0.2727,3.01,70.4,62,0.256,70.1,61.3,90,1.828,59.5,52.2,108,3.4,48.8,722035,0.055712577,130.31,337.5,95,80.46,208.39,9,210.77,545.89,92,0,25.17755318,25.17755318,1.492674857,2.237531555,1077763.49,0.476947784,4.625374222,-0.469999999,37.46680832,37.93680832,10.68710331,11.44168904,7716462.639,6.90354538,28.24177704,0,8885992,8885992,7909.839275,235896.5367,5711180801,3,211,-25904775168,28433059840,54337835008,-56821.86113,2640078245,-41027372503,0,2256358707,-19221145600,18660009984,37881155584,23171057.95,1350532350,1.67E+13,0,941273344,-20685320192,20517138432,41202458624,23229526.91,1779252854,1.68E+13,0,1324515072
